seed,ctrl_0_success,ctrl_20_success,ctrl_0_outcome,ctrl_20_outcome,aperture_median_mm_difference_20_minus_0,max_side_force_p95_n_difference_20_minus_0,penetration_p95_mm_difference_20_minus_0
20280901,True,True,success,success,-0.9374665815485201,-78.3658139901479,-0.3107528144416086
20280902,False,False,physical_slip_after_confirmed_grasp,physical_slip_after_confirmed_grasp,0.5191427253999095,-14.88168409087514,-0.01815630093912557
20280903,True,True,success,success,6.097243115385858,11.507625966228213,0.02707709694632421
20280904,True,True,success,success,-1.046864405857903,-2.027234585327361,-0.010830229337724345
20280905,True,True,success,success,-0.42982312691824376,83.12056075334965,0.20441835326651736
20280906,True,False,success,physical_slip_after_confirmed_grasp,-1.688228716879685,67.18509877724118,0.35600411237686413
20280907,True,False,success,physical_slip_after_confirmed_grasp,0.7852207261803734,-9.562864136330958,-0.03006852459914111
20280908,False,True,never_bilateral_candidate,success,,,
20280909,True,False,success,bilateral_not_confirmed,,,
20280910,False,False,confirmed_grasp_but_no_task_success,physical_slip_after_confirmed_grasp,-4.831176147018972,-29.822298006691184,-0.05906145791219908
20280911,False,False,confirmed_grasp_but_no_task_success,confirmed_grasp_but_no_task_success,-2.317242116930199,-128.0386562083429,-0.3021556759053213
20280912,True,True,success,success,0.4041544472619414,1.4369307934224125,0.01572303033493294
20280913,True,False,success,physical_slip_after_confirmed_grasp,-3.375648020420279,12.430890199802036,0.015741179916519743
20280914,True,True,success,success,2.3503223481543536,-11.455101922958605,-0.01849947110300698
20280915,True,True,success,success,0.06799080805250668,-3.71853928278441,-0.033911045309965804
20280916,True,True,success,success,0.33804351297913016,-4.073768256183352,0.030287964564653463
20280917,False,False,confirmed_grasp_but_no_task_success,physical_slip_after_confirmed_grasp,-9.533562855390565,-41.44278806216731,-0.09703980477563379
20280918,True,False,success,physical_slip_after_confirmed_grasp,-1.4328711232602096,-56.01110594158273,-0.0471598546291076
20280919,True,True,success,success,0.31531696263853703,24.970752043086613,0.07147313400201771
20280920,False,False,never_bilateral_candidate,never_bilateral_candidate,,,
